,text,category
1,verweerschrift herhaalt verweerder standpunt appellant feitelijk dezelfde positie verkeerde vijf veehouders beroep ingesteld college waarover college januari eind uitspraak gedaan appellant onderhavige beroepsprocedure nieuwe feiten omstandigheden voren gebracht leiden ander oordeel college uitspraak appellant voren gebracht daarin ruimschoots bod gekomen daarin betrokken,1
1,volgens verweerder standpunt appellant uitspraken college gedaan procedures geleid uitspraak januari betekenis onderhavige beroep onjuist drie bewijsstappen college geformuleerd uitspraak juni gehandhaafd onder uitspraak januari daarom procedure onverkort toepassing,0
1,opvatting appellant primaire besluit beroepsprocedure eveneens getoetst vernietigd moeten volgens verweerder onjuist ter uitvoering uitspraak college januari genomen bestreden besluit ii procedure ter discussie staat uitspraak evenals uitspraak college september ecli nl cbb bf waarnaar eerstgenoemde uitspraak wordt verwezen college primaire besluiten waaronder ten aanzien appellant rechtmatig geacht procedure staat vraag centraal verweerder opnieuw nemen beslissing bezwaarschrift appellant licht gegevens onderzoeksdossiers laboratorium reacties appellant daarop goede gronden geconcludeerd betwiste vaststelling laboratorium juist verweerder mening appellant discussie voert college beslecht verweerder verwijst verband punten,1
1,,8
1,uitspraak college januari,0
1,anders appellant meent verweerder eerste bewijsstap voldaan positieve testresultaten verkregen geaccrediteerd laboratorium namelijk id lelystad verband verwijst verweerder punt,1
1,uitspraak college januari vereist verweerder voorafgaand verband bewijsstap aantoont verwantschap bestaat tussen positief bevonden heparinemonster kalf bedrijf naam volgens verweerder procedure daarom alleen ter discussie staan veronderstelling bewijsstap appellant weerlegd tonen afwijkingen standaarden plaatsgevonden én afwijking belastende analyseresultaat veroorzaakt bewijsstap daarvan sprake aangezien appellant nieuwe feiten omstandigheden aangevoerd ten opzichte hetgeen waarover college januari uitspraak gedaan procedure stellingen appellant uitgebreid bod gekomen bestreden daarin betrokken appellanten monster afkomstig kalf aanwezig bedrijf naam nfi rapport zag college aanleiding anders oordelen voorheen gedaan één monster ten gevolge filtratie dna bevatte monster betreft verwantschap grond eiwitmethode aangenomen maakt volgens college monster aannemen verwantschap betekenis zie punt,0
1,uitspraak januari appellant tracht beroep procedure daarvoor nieuwe feiten omstandigheden voren brengen verweerder ziet daarom grond ander oordeel onherroepelijk uitspraak januari gegeven verweerder merkt verder anders appellant stelt heparinemonster enige positief geteste monster analyse materiaal kop kalf naam monster,1
1,geleid positieve uitslag monster stond procedure waarover college januari uitspraak gedaan ter discussie,0
1,verweerder stelt standpunt stamping out beleid strijd algemene beginselen behoorlijk bestuur uitspraak september ecli nl cbb bf college geoordeeld directeur rvv ten tijde nemen betreffende maatregelen beschikte aanwijzingen grond opleverden ernstige twijfels betrouwbaarheid uitslagen laboratorium gehouden nemen maatregelen uitspraak januari college punt,0
1,onder verwijzing genoemde eerdere uitspraken geoordeeld betrokken appellanten besluit doding dieren voortvloeiende nadelige gevolgen onevenredig verhouding besluit dienen doelen appellant nieuwe feiten omstandigheden aangevoerd waaruit volgt directeur rvv ten tijde nemen geding zijnde maatregelen beschikte zodanige aanwijzingen grond konden vormen ernstige twijfels betrouwbaarheid uitslagen laboratoria gevolg waarvan moeten afgezien stamping out beleid beoordeling college procedurele punten,0
1,brief juni college partijen laten weten stukken zaken waarin college januari einduitspraak gedaan dossier onderhavige zaak zullen gevoegd ter zitting gebleken partijen beschikking hadden stukken,0
1,appellant verder verzocht proces verbaal zitting juni hiervoor genoemde zaken dossier zaak toe voegen brief september college appellant bericht daartoe aanleiding zien verzoek nader gemotiveerd ter zitting echter gebleken zowel appellant verweerder beschikking hadden proces verbaal reden waarom proces verbaal dossier zaak toegevoegd appellant ter zitting overigens toegelicht proces verbaal volgens belang verband hiervoor,1
1,weergegeven beroepsgrond,8
1,appellant college voorafgaand zitting verzocht dr w a haeringen drs w roorda horen getuige deskundige college appellant brieven respectievelijk september bericht daartoe moment aanleiding zien verzoeken nader gemotiveerd verzoeken ter zitting nader orde gesteld gemachtigde appellant ter zitting aangegeven dr haeringen langer getuige deskundige wenst horen drs roorda namelijk gang zaken rond analyse testresultaten geanalyseerde monsters mede verband hetgeen daarover pleitnota stelt onder kopje uitslagen appellant drs roorda hiervoor meegebracht zitting,1
1,college constateert appellant aanvullend beroepschrift april ten aanzien onderwerp uitslagen beroepsgronden voren gebracht beperkt hiervoor,1
1,weergegeven beroepsgrond wordt betwist positief mkz geteste herparinemonster afkomstig kalf bedrijf naam aanvullend beroepschrift uitdrukkelijk vermeld appellant thans juistheid uitslag monster bestrijdt zie p college acht mede gelet tijdsverloop sinds aanvulling beroepschrift april strijd goede procesorde appellant beroepsgronden eerst ter zitting uitgebreid gronden betrekking genoemde gang zaken testuitslagen waaronder betrouwbaarheid positieve testuitslag heparinemonster positieve testuitslag monster kop kalf naam daaraan afdoen gemachtigde aanvullend beroepschrift kennelijk recht willen voorbehouden later stadium procedure verdere aanvulling beroepsgronden komen appellant drs roorda meegebracht zitting laten verklaren genoemde algemene aspecten betekent horen drs roorda redelijkerwijs bijdragen beoordeling zaak college reden afgezien horen drs roorda,1
1,betekent college hiervoor,0
1,genoemde beroepsgronden hetgeen pleitnota onder kopje uitslagen gesteld verder buiten beschouwing laten beperkten,8
1,,8
1,weergegeven beroepsgronden beroepsgronden,8
1,zover appellant betoogt beroepsprocedure orde komen primaire besluit onrechtmatig besluit stand houden volgt college daarin hetgeen college overwogen uitspraak januari onder,1
1,,8
1,verwijzing uitspraken college januari september volgt primaire besluit college rechtmatig geacht punt beslist uitspraak kracht gewijsde gekregen,0
1,beroepsgrond appellant waarin betwist heparinemonster afkomstig kalf bedrijf naam slaagt evenmin zoals blijkt uitspraak januari onder,1
1,,8
1,betreft kwestie prealabel punt buiten bewijsvoering daarbij belang zijnde drie bewijsstappen ligt voorzover appellant meent verweerder kader bewijsstap verwantschap aantonen tussen monster kalf naam opvatting onjuist uitspraak college onder,0
1,,8
1,erop gewezen uitspraak mei ecli nl cbb at voldoende aannemelijk geacht heparinemonster kalf levensnummer afkomstig kalf bedrijf naam gestald vervolgens aanleiding gezien daarover anders oordelen eerdere uitspraak gedaan daarbij college,0
1,ingegaan eiwitmethode nfi rapport college verband uitdrukkelijk overwogen omstandigheid één monster ten gevolge filtratie dna bevatte monster betreft verwantschap grond eiwitmethode aangenomen maakt monster aannemen verwantschap betekenis college verband meerdere redenen genoemd waarom monster uiteindelijk dna bevatte moeten begrepen onder vijf monsters genoemd kalf afkomstig hieraan gaat appellant hetgeen ter onderbouwing beroepsgrond aangevoerd voorbij voorts belang college genoemde uitspraak mei geconstateerd verweerder bedrijf naam besmet verklaard aanleiding klinische verschijnselen mkz reden juistheid constatering gaan gelet vorenstaande vindt college aanleiding ander oordeel betrekking verwantschap tussen heparinemonster kalf naam,0
1,betrekking beroepsgrond inhoudt stamping out aanpak verweerder onevenredig overweegt college volgt uitspraak januari onder,0
1,,8
1,college appellant vergelijkbare zaken geoordeeld staande gehouden betreffende veehouders besluit doding dieren voortvloeiende nadelige gevolgen ingrijpend zichzelf onevenredig verhouding besluit dienen doelen evenmin verweerder gehandeld strijd artikel gwwd appellant feiten omstandigheden aangevoerd waarom geval anders moeten geoordeeld college uitspraak gedaan overschrijding redelijke termijn,1
1,appellant verzocht schadevergoeding wegens overschrijding redelijke termijn zoals bedoeld artikel evrm eerste lid artikel zover belang bepaald vaststellen burgerlijke rechten verplichtingen bepalen gegrondheid ingestelde vervolging ieder recht eerlijke openbare behandeling zaak binnen redelijke termijn onafhankelijk onpartijdig gerecht wet ingesteld,8
1,overeenstemming beleidsregel minister veiligheid justitie juli nr stcrt nr staat gelegenheid gesteld laten mogelijk appellant toe kennen vergoeding immateriële schade wegens overschrijding redelijke termijn bestuursrechter geval schadevergoeding,8
1,bedragen mr batting ter zitting college verklaard staat refereert oordeel college,0
1,college dient eerst vraag beantwoorden welk recht verzoek appellant beoordeeld juli wet nadeelcompensatie schadevergoeding onrechtmatige besluiten zover betrekking hebbend schadevergoeding werking getreden ingevolge artikel iv eerste lid wet blijft schade veroorzaakt besluit bekendgemaakt handeling verricht tijdstip waarop wet besluit handeling werking getreden recht zoals gold tijdstip toepassing zaken waarin per juli ingetrokken artikel awb genoemd artikel iv eerste lid intrekking werking behouden rechter vergoeding immateriële schade wegens overschrijding redelijke termijn toekennen overeenkomstige toepassing bepaling zie arrest hoge raad juni ecli nl hr bo aangezien verzoek appellant schadevergoeding wegens overschrijding redelijke termijn betrekking procedure aanleiding besluiten juli bekend gemaakt hierop recht toepassing zoals gold vóór juli college verwijst hierbij uitspraak januari onder,8
1,,8
1,vraag redelijke termijn overschreden beoordeeld hand omstandigheden geval daarbij betekenis ingewikkeldheid zaak wijze waarop zaak bestuursorgaan rechter behandeld processuele gedrag appellant gedurende hele procesgang aard maatregel daardoor getroffen belang appellant,1
1,beoordeling hoeverre sprake overschrijding redelijke termijn dient duur procedure geheel aanmerking genomen geldt indien bezwaar eerdere vernietiging beroep herziene beslissing bezwaar rechter wordt voorgelegd hangende behandeling verzoek schadevergoeding wegens overschrijding redelijke termijn wordt gedaan voorgaande brengt mee zaak uitgangspunt genomen duur procedures sinds ontvangst verweerder bezwaarschrift primaire besluit directeur rvv maart,8
1,gaat punitieve procedure volgt primair besluit bekendgemaakt vóór februari,8
1,college ziet aanleiding zaak oordelen beginsel totale lengte procedure vijf jaren redelijk achten hierbij ervan uitgegaan behandeling bezwaar ten hoogste twee jaar behandeling beroep ten hoogste drie jaar beslag neemt zie uitspraak college januari onder,0
1,,8
1,beoordeling vraag redelijke termijn overschreden blijft tijd gemoeid afwachten prejudiciële beslissing buiten beschouwing mits afwachten beslissing redelijk college oordeel afwachten prejudiciële beslissing gegeven arrest hof justitie juni c zaak redelijk tijd gemoeid verkrijgen prejudiciële beslissing buiten beschouwing gelaten tijd vangt dag verzending verwijzingsuitspraak nationale rechter eindigt dag openbaarmaking prejudiciële beslissing hof justitie,8
1,indien redelijke termijn overschreden wordt behoudens bijzondere omstandigheden verondersteld belanghebbende immateriële schade geleden vorm spanning frustratie bepaling hoogte toe kennen vergoeding immateriële schade mate waarin betrokkene daadwerkelijk spanning frustratie ondervonden beginsel belang,8
1,zaak eerdere vernietiging herziene beslissing bezwaar rechter voorgelegd zodanige zaken wordt overschrijding redelijke termijn beginsel volledig toegerekend bestuursorgaan echter zoals hierna blijken rechterlijke fase redelijke behandelingsduur overschreden college veroordeling vergoeding schade zowel uitspreken ten laste verweerder ten laste staat zaken waarin bestuurlijke rechterlijke fase tezamen lang geduurd redelijke termijn overschreden dient rechter oog toekenning vergoeding immateriële schade vanwege tijdsverloop beoordelen welke wijze termijnoverschrijding toegerekend bestuurlijke rechterlijke fase veroordeling vergoeding schade evenredigheid daarmee uitgesproken ten laste bestuursorgaan respectievelijk staat toerekening orde zijnde zaak regel gelden bestuurlijke fase onredelijk lang geduurd zover duur daarvan twee jaar overschrijdt beroepsfase zover drie jaar beslag neemt,8
1,achtergrond college hieronder toe kennen schadevergoeding wegens overschrijding redelijke termijn vaststellen,8
1,appellant april bezwaarschrift ingediend primaire besluit maart beslissing bezwaar dateert januari bestreden besluit i hiertegen appellant april beroep ingesteld januari college verwijzingsuitspraak hof justitie gezonden waarin prejudiciële vragen gesteld juni hof justitie arrest gewezen waarin prejudiciële vragen beantwoord januari college uitspraak gedaan waarbij beslissing bezwaar januari vernietigd februari verweerder herziene beslissing bezwaar bestreden besluit ii genomen appellant maart beroep ingesteld bestreden besluit ii,1
1,college stelt vast procedure vanaf indiening bezwaarschrift besluit maart dag uitspraak boven afgerond jaar zeven maanden geduurd totaal maanden behandeling bezwaar eerste instantie één jaar tien maanden maanden beslag genomen eerste procedure college vijf jaar maanden maanden hernieuwde bezwaarprocedure jaar één maand maanden nieuwe procedure college bijna één jaar maanden maanden betekent ten tijde uitspraak januari hiervoor bedoelde termijn vijf jaar jaar twee maanden maanden overschreden tijd gemoeid verkrijgen prejudiciële beslissing één jaar vijf maanden berekening buiten beschouwing gelaten,8
1,uitgaande tarief per half jaar redelijke termijn overschreden waarbij totaal overschrijding boven wordt afgerond brengt,8
1,overwogene mee appellant recht,1
1,schadevergoeding,8
1,bestuurlijke fase totaal jaar tien maanden maanden beslag genomen overschrijding redelijke termijn bestuurlijke fase maanden rechterlijke fase exclusief tijd gemoeid verkrijgen prejudiciële beslissing totaal zes jaar twee maanden maanden beslag genomen overschrijding redelijke termijn rechterlijke fase maanden overschrijding redelijke termijn zowel verweerder rechter toe rekenen gelet hetgeen hiervoor overwogen verweerder veroordeeld betaling appellant bedrag x,8
1,,8
1,staat betaling bedrag x,8
1,,8
1,,8
1,verzoek appellant schadevergoeding wegens overschrijding redelijke termijn beoordeeld recht zoals gold vóór juli dient college beroep uitsluitend wegens overschrijding redelijke termijn bedoeld artikel eerste lid evrm gegrond verklaren bestreden besluit ii vernietigen instandlating rechtsgevolgen verweerder staat veroordelen betaling appellant schadevergoedingen zoals hierna beslissing opgenomen proceskosten griffierecht,1
1,gelet omstandigheid college appellant vergoeding immateriële schade toekennen wegens overschrijding redelijke termijn college verweerder staat toepassing artikel awb veroordelen appellant beroep gemaakte proceskosten verder voet artikel tweede lid awb verweerder staat opdragen griffierecht appellant vergoeden vgl arrest hoge raad februari ecli nl hr,1
1,,8
1,verweerder staat uitsluitend moeten veroordeeld proceskosten appellant appellant vergoeding immateriële schade wegens overschrijding redelijke termijn wordt toegekend college overeenstemming vaste jurisprudentie punt wegingsfactor gewicht zaak bedoeld onderdeel c bijlage besluit proceskosten bestuursrecht hanteren licht vgl arrest hoge raad maart ecli nl hr,9
1,,8
1,appellant grond uitspraak college januari vergoeding ontvangen proceskosten uitspraak gemaakt uitspraak verrichte proceshandelingen blijven hierna buiten beschouwing,0
1,overschrijding redelijke termijn zowel verweerder rechter toe rekenen toe kennen vergoeding proceskosten griffierecht deels moeten plaatsvinden verweerder deels staat waarbij redenen eenvoud uitvoerbaarheid dient uitgegaan verdeling waarbij ieder hen helft betaalt toe kennen bedragen vgl arrest hoge raad februari ecli nl hr r o,8
1,,8
1,voorgaande leidt vergoeding volgende proceshandelingen indienen beroepschrift punt waarde per punt wegingsfactor bijwonen zitting punt waarde per punt wegingsfactor college stelt appellant proceshandelingen toe kennen proceskostenvergoeding daarom vast,4
2,overwegingen,5
2,wettelijk kader opgenomen bijlage deel uitmaakt uitspraak aanleiding procedure,0
2,appellante grond tvl aanvraag ingediend subsidie vierde kwartaal q,4
2,onderneming appellante maart handelsregister kamer koophandel kvk sbi codes,3
2,vervaardiging sportartikelen,8
2,overige sportaccommodaties opgenomen bedrijfsomschrijving ontwikkeling fabricage montage bouw plaatsing indoor outdoor klimwanden klimelementen alsmede import export inkoop verkoop materialen ten behoeve voormelde klimwanden klimelementen exploitatie voormelde klimwanden,8
2,verweerder verlening subsidie uitgegaan sbi code,3
2,waarbij omvang vaste lasten forfaitair omzet vastgesteld,8
2,bestreden besluit verweerder primaire besluit herroepen hoofdactiviteit appellante beter aansluit sbi code,3
2,verhuur onroerend goed woonruimte omzet appellante bestaat huuropbrengsten verhuur klimhallen omvang vaste lasten sbi code,3
2,forfaitair omzet vastgesteld standpunt appellante,4
2,appellante voert verweerder bestreden besluit ten onrechte uitgegaan sbi code,3
2,volgens appellante sbi code,3
